"Boletín","Titulo","Ley","Estado","Fecha"
"15696-07","Proyecto de reforma constitucional, iniciado en Moción de los Honorables Senadores señor Velásquez y señora Sepúlveda, que modifica la Carta Fundamental, con el objeto de someter a las corporaciones municipales y a otras entidades que indica, a la fiscalización de la Contraloría General de la República.","","En tramitación","25/01/2023"
"15697-03","Proyecto de ley, iniciado en Moción de los Honorables Senadores señor Velásquez y señora Sepúlveda, que modifica la Ley General de Bancos para establecer una excepción al secreto y reserva bancaria respecto de las autoridades municipales y directores de corporaciones, fundaciones y asociaciones que indica.","","En tramitación","25/01/2023"
"15698-04","Modifica la Ley sobre Subvención del Estado a Establecimientos Educacionales, en la materia que indica","","En tramitación","25/01/2023"
"15699-33","Proyecto de ley, iniciado en Moción de los Honorables Senadores señores Flores, Castro González y Kast, que fija un marco legal para las plantas de tratamiento de aguas servidas no concesionadas, de zonas rurales o comunitarias.","","En tramitación","25/01/2023"
"15700-13","Modifica el Código del Trabajo, con el objeto de establecer un permiso laboral en el caso de la muerte del suegro o suegra del trabajador","","En tramitación","25/01/2023"
"15702-13","Proyecto de ley, iniciado en Moción de la Honorable Senadora señora Campillai, que modifica el Código del Trabajo, en materia de trabajo a distancia para quienes que tengan a su cargo a menores de 12 años.","","En tramitación","26/01/2023"
"15703-13","Proyecto de ley, iniciado en Moción de la Honorable Senadora señora Campillai, que modifica el Código del Trabajo, con el objeto de extender el permiso laboral en el caso de enfermedad grave de un niño.","","En tramitación","26/01/2023"
"15704-36","Proyecto de ley, iniciado en Moción de la Honorable Senadora señora Campillai, que modifica la ley N° 20.422,  que establece normas sobre igualdad de oportunidades e inclusión social de personas con discapacidad, con el objeto de implementar dispositivos de audiodescripción, en el caso que indica.","","En tramitación","26/01/2023"
"15705-36","Proyecto de ley, iniciado en Moción de la Honorable Senadora señora Campillai, que modifica la ley N° 20.422, que establece normas sobre igualdad de oportunidades e inclusión social de personas con discapacidad, para incluir en los planes curriculares de los programas que indica, la concientización y capacitación en materia de inclusión de personas en situación de discapacidad.","","En tramitación","26/01/2023"
"15706-07","Modifica el Decreto Ley N° 321, de 1925, que establece la libertad condicional para las personas condenadas a penas privativas de libertad, respecto de los condenados por violación de persona menor de catorce años","","En tramitación","26/01/2023"
"15707-07","Modifica el Código Penal, con el objeto de agravar las penas asignadas al delito de violación a una persona menor de catorce años","","En tramitación","26/01/2023"
"15709-07","Modifica la Carta Fundamental, en materia de prórrogas sucesivas del estado de excepción constitucional de emergencia, en las condiciones que indica","","En tramitación","30/01/2023"
"15710-07","Modifica la Carta Fundamental, en materia de fijación de tarifas de los planes de salud","","En tramitación","30/01/2023"
"15711-25","Modifica el Decreto Ley N° 321, de 1925, que establece la libertad condicional para las personas condenadas a penas privativas de libertad, con el objeto de restringir el acceso a ese beneficio en los casos que indica","","En tramitación","30/01/2023"
"15716-03","Introduce modificaciones a la ley Nº 19.983, que regula la transferencia y otorga mérito ejecutivo a copia de la factura, y al decreto ley N° 825, de 1974, del Ministerio de Hacienda, ley sobre impuesto a las ventas y servicios, para mejorar el pago a treinta días","","En tramitación","31/01/2023"
"15717-07","Modifica la Carta Fundamental, con el objeto de hacer aplicable a los imputados por el delito de incendio las disposiciones que regulan la apelación de la resolución judicial que se pronuncia sobre la libertad de los imputados por conductas terroristas","","En tramitación","01/03/2023"
"15718-07","Modifica el Código Penal, con el objeto de establecer medidas especiales para la investigación y sanción del delito de incendio","","En tramitación","01/03/2023"
"15725-13","Modifica el Código del Trabajo, con el objeto de establecer políticas de equidad de género e igualdad de derechos en las empresas.","","En tramitación","08/03/2023"
"15727-34","Modifica diversos cuerpos legales, en materia de interposición de acciones indemnizatorias en casos de violencia intrafamiliar","","En tramitación","08/03/2023"
"15741-01","Modifica la Ley de Bosques, con el objeto de disponer la construcción y mantención obligatoria de cortafuegos en los casos que indica","","En tramitación","15/03/2023"
"15745-17","Concede la nacionalidad por gracia al deportista señor Jesús Veracierta Salazar","","En tramitación","16/03/2023"
"15746-11","Establece normas sobre etiquetado de productos envasados que contienen atún","","En tramitación","16/03/2023"
"15756-11","Establece el Día Nacional de la Prevención del Accidente Cerebrovascular","","En tramitación","21/03/2023"
"15759-17","Modifica diversos cuerpos legales, con el objeto de sancionar expresamente el antisemitismo","","En tramitación","21/03/2023"
"15760-12","Proyecto de ley que modifica la ley N° 21.368, en materia de entrega de productos de un solo uso","","En tramitación","21/03/2023"
"15762-03","Modifica la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, para consagrar el derecho a la elección del medio de pago","","En tramitación","21/03/2023"
"15763-12","Modifica la ley N° 19.886, Ley de bases sobre contratos administrativos de suministro y prestación de servicios, con el objeto de prohibir la contratación con empresas sancionadas por infringir normas ambientales","","En tramitación","21/03/2023"
"15764-36","Que regula el uso de perros de asistencia por parte de personas que padecen patologías siquiátricas","","En tramitación","22/03/2023"
"15766-03","Regula la obtención y el tratamiento de datos personales mediante la utilización de dispositivos electrónicos","","En tramitación","22/03/2023"
"15772-25","Proyecto de ley que modifica diversos cuerpos legales, con el objeto de agravar sanciones y establecer la pena de presidio perpetuo absoluto en el caso de delitos cometidos contra funcionarios de orden y seguridad.","","En tramitación","30/03/2023"
"15773-11","Modifica diversos cuerpos legales, para regular la práctica de cirugías y procedimientos con fines estéticos","","En tramitación","30/03/2023"
"15774-15","Modifica el decreto con fuerza de ley N° 1, de 2009, de los Ministerios de Transportes y Telecomunicaciones y de Justicia, que fija el texto refundido, coordinado y sistematizado de la Ley de Tránsito, con el objeto de incluir entre los vehículos de emergencia a aquellos de propiedad municipal utilizados en situaciones de emergencia, catástrofe o desastre","","En tramitación","30/03/2023"
"15775-37","Modifica la Ley del Deporte, con el objeto de incorporar a las expresiones de artes marciales o defensa personal bajo su regulación, y deroga la ley N° 18.356, que establece normas sobre control de las artes marciales y deroga la ley N° 18.039","","En tramitación","30/03/2023"
"15776-17","Promueve, protege y garantiza los derechos lingüísticos de los pueblos indígenas de Chile","","En tramitación","30/03/2023"
"15796-07","Modifica el Código Penal, para tipificar el delito de tenencia de elementos tecnológicos que permitan a las personas privadas de libertad comunicarse con el exterior","","En tramitación","06/04/2023"
"15806-04","Interpreta el artículo cuadragésimo segundo transitorio de la ley N° 21.040, que crea el Sistema de Educación Pública, con el objeto de proteger los ingresos de los trabajadores que indica traspasados a los Servicios Locales de Educación Pública","Ley N° 21.583","Publicado","11/04/2023"
"15807-09","Modifica la Ley General de Servicios Sanitarios, en materia de obligaciones de los prestadores del servicio de agua potable y alcantarillado","","En tramitación","11/04/2023"
"15809-13","Modifica el Código del Trabajo, con el objeto de incorporar la modalidad de teletrabajo para personas embarazadas o cuidadoras","","En tramitación","11/04/2023"
"15814-33","Modifica la ley N° 21.435, que reforma el Código de Aguas, para ampliar el plazo de inscripción conservatoria de derechos de aprovechamiento de aguas no inscritos","","En tramitación","11/04/2023"
"15817-07","Modifica el Código Penal, con el objeto de aumentar las penas aplicables en el caso de quebrantamiento de condena","","En tramitación","11/04/2023"
"15818-07","Modifica el Código Orgánico de Tribunales, en materia de elección del Presidente de la Corte Suprema","","En tramitación","11/04/2023"
"15819-07","Modifica el Código Orgánico de Tribunales, en materia de elección de los Presidentes de las Cortes de Apelaciones","","En tramitación","11/04/2023"
"15820-07","Modifica el Código Procesal Penal, en materia de procedencia de la prisión preventiva respecto de imputados extranjeros en las condiciones que indica","","En tramitación","12/04/2023"
"15821-07","Modifica la Carta Fundamental, en materia de paridad en el Consejo Constitucional","Ley N° 21.574","Publicado","12/04/2023"
"15822-07","Modifica el Código Procesal Penal, para incorporar elementos que se deben considerar en la aplicación de las medidas cautelares personales que indica","","En tramitación","12/04/2023"
"15823-06","Extiende la validez de los documentos de identidad que señala, para el solo efecto de identificar a los electores en las elecciones o plebiscitos que se realicen el periodo que indica","Ley N° 21.569","Publicado","12/04/2023"
"15824-06","Permite el uso de cédulas de identidad y pasaportes que señala para efectos de identificar a los electores en las elecciones y plebiscitos que indica","Ley N° 21.569","Publicado","12/04/2023"
"15825-07","Incorpora una disposición transitoria a la Carta Fundamental, con el objeto de determinar el órgano encargado de recibir las excusas por incumplimiento de la obligación de sufragar, en los casos que indica","","En tramitación","12/04/2023"
"15826-33","Modifica la ley N° 21.435, que Reforma el Código de Aguas, con el objeto de facilitar el registro e inscripción de derechos de aprovechamiento de aguas","","En tramitación","13/04/2023"
"15843-07","Modifica la Carta Fundamental, en lo referido a la iniciativa de las leyes que otorgan la nacionalidad chilena, por especial gracia","","En tramitación","18/04/2023"
"15844-37","Modifica la ley N° 19.712, Ley del Deporte, en materia de seguridad de las actividades deportivas","","En tramitación","18/04/2023"
"15847-17","Concede la nacionalidad por gracia a la escritora señora Gioconda Belli Pereira","","En tramitación","18/04/2023"
"15850-11","Modifica diversos cuerpos legales para regular la comercialización de productos farmacéuticos y sancionar su venta ilegal","","En tramitación","18/04/2023"
"15851-01","Modifica el decreto ley N° 701, de 1974, con el objeto de delimitar la responsabilidad de propietarios y otros tenedores de terrenos en la prevención de incendios forestales","","En tramitación","18/04/2023"
"15852-12","Declara el segundo sábado de noviembre de cada año como el ""Día Nacional de las Áreas Protegidas""","","En tramitación","19/04/2023"
"15853-07","Modifica la Ley Orgánica Constitucional del Tribunal Constitucional, con el objeto de suprimir la facultad dirimente de su Presidente","","En tramitación","19/04/2023"
"15854-15","Modifica la Ley de Tránsito, en materia de determinación de límites máximos de velocidad","","En tramitación","19/04/2023"
"15855-25","Modifica diversos cuerpos legales, con el objeto de tipificar como delito el ingreso clandestino al país","","En tramitación","19/04/2023"
"15856-07","Modifica la Ley Orgánica del Congreso Nacional, en lo referido a la calificación de inadmisibilidad de las iniciativas de ley","","En tramitación","19/04/2023"
"15857-07","Modifica el Código Penal para consagrar en el artículo 411 ter el concepto de ""explotación sexual"".","","En tramitación","19/04/2023"
"15858-04","Interpreta el artículo cuadragésimo segundo transitorio de la ley N° 21.040, que crea el Sistema de Educación Pública, con el objeto de proteger los ingresos de los trabajadores que indica traspasados a los Servicios Locales de Educación Pública","Ley N° 21.583","Publicado","19/04/2023"
"15859-07","Modifica el Código Procesal Penal, en materia de flagrancia de un delito.","","En tramitación","19/04/2023"
"15860-07","Modifica la ley N° 20.084, que establece un sistema de responsabilidad de los adolescentes por infracciones a la ley penal, en cuanto al plazo de investigación en el caso que indica","","En tramitación","19/04/2023"
"15861-25","En materia de denominación de los funcionarios de la Policía de Investigaciones de Chile que indica","","En tramitación","19/04/2023"
"15862-21","Introduce diversas modificaciones en la ley N° 20.249, que crea el espacio costero de los pueblos originarios, con el objeto de perfeccionar su implementación","","En tramitación","19/04/2023"
"15863-07","Modifica la Carta Fundamental, en cuanto a la forma de proveer los cargos vacantes de parlamentarios","","En tramitación","20/04/2023"
"15871-07","Modifica el Código Penal, para consagrar como circunstancia agravante cometer el delito en las inmediaciones de los establecimientos que indica","","En tramitación","25/04/2023"
"15874-07","Modifica el Código Civil, con el objeto de determinar la información que deben poner a disposición del publico,  las personas jurídicas que indica","","En tramitación","25/04/2023"
"15875-03","Modifica la Ley sobre Cuentas Corrientes Bancarias y Cheques, para establecer el pago de intereses sobre fondos disponibles en cuentas corrientes, en las condiciones que indica","","En tramitación","26/04/2023"
"15878-07","Modifica la ley N° 18.415, orgánica constitucional de los Estados de Excepción, para velar por el resguardo de zonas extremas o fronterizas","","En tramitación","26/04/2023"
"15891-15","Modifica el procedimiento de fijación tarifaria de concesionarias de telefonía fija, y corrige y actualiza referencias en la ley N° 18.168 General de Telecomunicaciones","","En tramitación","08/05/2023"
"15893-25","Modifica diversos cuerpos legales para fortalecer la protección de testigos, particularmente en las materias vinculadas a la seguridad pública que indica","","En tramitación","09/05/2023"
"15894-07","Proyecto de reforma constitucional, que modifica la Carta Fundamental, con el objeto de permitir que las Fuerzas Armadas se hagan cargo de la protección de sectores críticos, en las circunstancias que indica","","En tramitación","09/05/2023"
"15895-04","Modifica diversos cuerpos legales, con el objeto de promover el desarrollo de políticas educacionales para la prevención de conductas delictuales y consumo de drogas","","En tramitación","09/05/2023"
"15896-11","Modifica el decreto con fuerza de ley N° 1, de 2005, del Ministerio de Salud, que fija el texto refundido, coordinado y sistematizado del decreto ley N°2.763, de 1979, y de las leyes N° 18.933 y N° 18.469, en las materias que indica, crea un nuevo modelo de atención en el FONASA, otorga facultades y atribuciones a la Superintendencia de Salud y modifica normas relativas a las instituciones de salud previsional","","En tramitación","09/05/2023"
"15902-04","Modifica la ley N° 21.040 y otros cuerpos legales, complementando las normas sobre administración e instalación del Sistema de Educación Pública","","En tramitación","09/05/2023"
"15906-07","Modifica la ley N° 18.101, que fija normas especiales sobre arrendamiento de predios urbanos, en materia de requisitos de la demanda monitoria en el caso que indica","","En tramitación","10/05/2023"
"15915-25","Modifica el Código Procesal Penal, con el objeto de establecer la obligación que indica, para quienes se desempeñen como guardias de seguridad, en caso de delito flagrante","","En tramitación","16/05/2023"
"15916-07","Modifica el Código Penal, para tipificar una conducta de acoso y una hipótesis agravada, en el caso que indica","","En tramitación","15/05/2023"
"15925-07","Modifica el Código Penal, en materia de consideración de la reincidencia como circunstancia agravante de la responsabilidad penal","","En tramitación","16/05/2023"
"15930-37","Reconoce y protege los sitios de memoria y modifica el decreto con fuerza de ley N° 5.200, de 1929, del Ministerio de Educación Pública, en cuanto a la conservación de la documentación que indica","","En tramitación","16/05/2023"
"15934-25","Sobre nomenclatura aplicable a los funcionarios de la Policía de Investigaciones de Chile que señala","","En tramitación","17/05/2023"
"15938-15","Modifica el decreto con fuerza de ley N° 1, de 2009, de los Ministerios de Transportes y Telecomunicaciones y de Justicia, que fija texto refundido, coordinado y sistematizado de la Ley de Tránsito, en materia de determinación del profesional habilitado para acreditar la idoneidad física y psíquica exigida para obtener licencia de conducir","","En tramitación","17/05/2023"
"15939-15","Modifica el decreto con fuerza de ley N° 1, de 2009, de los Ministerios de Transportes y Telecomunicaciones y de Justicia, que fija el texto refundido, coordinado y sistematizado de la Ley de Tránsito, con el objeto de aumentar la sanción a quienes impidan u obstaculicen el derecho preferente de paso de vehículos de emergencia","","En tramitación","24/05/2023"
"15969-14","Modifica el decreto con fuerza de ley N° 458, de 1976, que aprueba nueva Ley General de Urbanismo y Construcciones, con el objeto de establecer la exigencia de fundamentar las resoluciones que indica","","En tramitación","30/05/2023"
"15971-15","Modifica el decreto con fuerza de ley N° 1, de 2009, de los Ministerios de Transportes y Telecomunicaciones y de Justicia, que fija texto refundido, coordinado y sistematizado de la Ley de Tránsito, en materia de acreditación de idoneidad física y psíquica exigida para renovar la licencia de conductor","","En tramitación","31/05/2023"
"15972-13","Modifica el Código del Trabajo, para establecer la modalidad de teletrabajo respecto de quienes se encuentren en alguna de las circunstancias que indica","","En tramitación","31/05/2023"
"15974-07","Modifica el Código Penal, sobre consideración de la circunstancia atenuante de irreprochable conducta anterior","","En tramitación","31/05/2023"
"15975-25","Crea el Subsistema de Inteligencia Económica y establece otras medidas para la prevención y alerta de actividades que digan relación con el crimen organizado","","En tramitación","31/05/2023"
"15976-06","Modifica diversos cuerpos legales, en materia de asignación de locales de votación y establecimiento de un procedimiento de reclamación para los casos que indica","","En tramitación","01/06/2023"
"16001-36","Modifica la ley N° 19.947, que establece nueva Ley de Matrimonio Civil, con el objeto de ampliar el plazo para solicitar la inscripción en el Registro Civil del acta del matrimonio celebrado ante una entidad religiosa","","En tramitación","06/06/2023"
"16002-11","Modifica la ley N° 19.925, sobre expendio y consumo de bebidas alcohólicas, con el objeto de regular la exigencia de cédula de identidad u otro documento de identificación a las personas que deseen adquirir bebidas alcohólicas","","En tramitación","06/06/2023"
"16004-07","Modifica la Carta Fundamental, en materia de rehabilitación de la ciudadanía y de requisitos de la declaración de candidaturas parlamentarias","","En tramitación","07/06/2023"
"16005-37","Homologa la ley N° 19.712, del Deporte, a los estándares y disposiciones del nuevo Código Mundial Antidopaje","","En tramitación","08/06/2023"
"16006-11","Modifica el decreto con fuerza de ley N° 1, de 2006, del Ministerio de Salud, que fija texto refundido, coordinado y sistematizado del decreto ley N° 2.763, de 1979 y de las leyes N° 18.933 y N° 18.469, con el objeto de aumentar las sanciones aplicables a las Instituciones de Salud Previsional, en los casos que indica","","En tramitación","08/06/2023"
"16007-13","Que modifica el Código del Trabajo, con el objeto de perfeccionar el ejercicio del derecho a sala cuna","","En tramitación","07/06/2023"
"16014-13","Modifica el Código del Trabajo, con el objeto de extender la aplicación de la modalidad de trabajo a distancia o teletrabajo a los casos que indica","","En tramitación","13/06/2023"
"16015-07","Modifica la Carta Fundamental, con el objeto de incorporar una Fiscalía Supraterritorial y tribunales especiales, para la investigación, conocimiento y juzgamiento de causas terroristas y otras que indica","","En tramitación","13/06/2023"
"16021-07","Modifica el Código Penal, para incorporar, como circunstancia agravante de la responsabilidad, el uso de inteligencia artificial en la comisión de un delito","","En tramitación","13/06/2023"
"16022-37","Modifica la ley N° 17.288, sobre Monumentos Nacionales, para establecer como requisito solicitar la opinión de un representante del Ministerio de Defensa Nacional, en los casos que señala","","En tramitación","14/06/2023"
"16025-13","Modifica el Código del Trabajo, con el objeto de perfeccionar el ejercicio del derecho de alimentación de niños menores de dos años","","En tramitación","14/06/2023"
"16026-04","Que regula el derecho preferente de los padres de educar a sus hijos, en materia de educación sexual y moral","","En tramitación","15/06/2023"
"16027-07","Modifica el Código Orgánico de Tribunales, con el objeto de suprimir disposiciones que autorizan el funcionamiento excepcional de los tribunales de forma remota, en los casos que indica","","En tramitación","19/06/2023"
"16028-02","Modifica el Código de Justicia Militar, con el objeto de someter al conocimiento de dicha jurisdicción, delitos cometidos por militares en las circunstancias que indica","","En tramitación","19/06/2023"
"16034-06","Modifica la ley N° 20.430, para establecer una etapa inicial del procedimiento de determinación de la condición de refugiado, y la ley N° 21.325, en relación con la medida de reconducción o devolución inmediata de personas extranjeras que ingresen de forma irregular al territorio nacional","","En tramitación","19/06/2023"
"16036-17","Regula el cumplimiento alternativo de penas privativas de libertad, para condenados que padezcan enfermedad terminal o menoscabo físico grave, o que hayan cumplido determinada edad","","En tramitación","19/06/2023"
"16038-25","Modifica diversos cuerpos legales, en materia de requisitos para ser llamado al servicio en Carabineros de Chile .","","En tramitación","19/06/2023"
"16039-17","Modifica la ley N° 20.896, que establece la conmemoración anual del Día Mundial de los Refugiados el 20 de junio y del Día Internacional del Migrante, el 18 de diciembre, con el objeto de incorporar el reconocimiento de las personas víctimas de desplazamientos forzados interno","","En tramitación","19/06/2023"
"16042-07","Modifica la Carta Fundamental, para consagrar la misión institucional de Carabineros de Chile y de la Policía de Investigaciones de Chile","","En tramitación","22/06/2023"
"16043-15","Modifica el decreto con fuerza de ley N° 1, de 2009, de los Ministerios de Transportes y Telecomunicaciones y de Justicia, que fija el texto refundido, coordinado y sistematizado de la Ley de Tránsito, para incorporar a los vehículos de instituciones policiales en la excepción relativa a la emisión de materiales o gases contaminantes que señala","","En tramitación","22/06/2023"
"16044-25","Modifica diversos cuerpos legales, con el objeto de regular el procedimiento aplicable en los funerales declarados de alto riesgo y la demolición de estructuras destinadas al culto del narcotráfico, y aumentar las sanciones por el uso de armas de fuego en las circunstancias que indica","","En tramitación","27/06/2023"
"16048-12","Modifica la ley N° 19.300, que aprueba Bases Generales del Medio Ambiente, con el objeto de incorporar los planes de protección lacustre entre los instrumentos de gestión ambiental","","En tramitación","03/07/2023"
"16049-06","Modifica la ley N° 20.500, sobre asociaciones y participación ciudadana en la gestión pública, para establecer la obligación de informar a la Contraloría General de la República, sobre el uso de los recursos que indica.","","En tramitación","03/07/2023"
"16050-25","Modifica la ley N° 20.931, que facilita la aplicación efectiva de las penas establecidas para los delitos de robo, hurto y receptación y mejora la persecución penal en dichos delitos, para regular los controles de vehículos por parte de la Policía de Investigaciones de Chile","","En tramitación","03/07/2023"
"16053-07","Modifica el artículo 19 N° 24° de la Carta Fundamental, para incorporar un grado de participación de los pueblos indígenas en la propiedad o administración de los yacimientos que señala","","En tramitación","04/07/2023"
"16058-36","Proyecto de ley, iniciado en Moción de los Honorables Senadores señoras Núñez, Aravena y Provoste, y señor Prohens, que modifica la ley N° 19.968, que crea los tribunales de familia, en materia de incumplimiento del régimen de relación directa y regular","","En tramitación","04/07/2023"
"16059-15","Modifica el decreto con fuerza de ley N° 1, de 2009, de los Ministerios de Transportes y Telecomunicaciones y de Justicia, que fija el texto refundido, coordinado y sistematizado de la Ley de Tránsito, con el objeto de aumentar el límite máximo de velocidad en zonas urbanas, para los vehículos que señala","","En tramitación","05/07/2023"
"16060-06","Modifica la ley N° 19.886, Ley de Bases sobre Contratos Administrativos de Suministro y Prestación de Servicios, en materia de control del procedimiento de contratación por trato o contratación directa","","En tramitación","04/07/2023"
"16061-07","Que modifica la Carta Fundamental, con el objeto de crear la Agencia de Futuro Estratégico","","En tramitación","04/07/2023"
"16065-37","Declara la jineteada patagónica como deporte nacional","","En tramitación","05/07/2023"
"16066-06","Modifica la ley N° 19.253, que establece normas sobre protección, fomento y desarrollo de los indígenas, y crea la Corporación Nacional de Desarrollo Indígena, con el objeto de incorporar al pueblo Huilliche entre las etnias indígenas reconocidas por el Estado","","En tramitación","05/07/2023"
"16067-08","Establece normas sobre exportación de concentrado de cobre","","En tramitación","05/07/2023"
